Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2nF","C_0603_1608Metric",92.824600,-74.930000,0.000000,top
"C2","0.1uF","C_0603_1608Metric",92.646200,-86.766400,0.000000,top
"C3","10pF","C_0603_1608Metric",102.832200,-74.828400,0.000000,top
"C4","22 uF (226) / 16v","CP_EIA-6032-20_AVX-F",116.636800,-75.261500,-90.000000,top
"C5","22 uF (226) / 16v","CP_EIA-6032-20_AVX-F",129.286000,-75.387200,90.000000,top
"C6","22 uF (226) / 16v","CP_EIA-6032-20_AVX-F",105.308400,-93.776800,90.000000,top
"C7","1uF","C_0603_1608Metric",103.619000,-85.953600,0.000000,top
"J1","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",136.804400,-83.718400,0.000000,top
"J2","Conn_01x06_Pin","PinSocket_1x06_P2.54mm_Vertical",110.185200,-97.078800,180.000000,top
"Q1","OP805SL","TO-18-3_Lens",86.817200,-73.761600,90.000000,top
"Q2","2N3904 (1AM)","SOT-23-3",97.317600,-75.976900,90.000000,top
"Q3","MMBT3906 (2A)","SOT-23-3",102.889900,-79.212400,0.000000,top
"R1","200k (30D)","R_0603_1608Metric",92.659200,-83.820000,0.000000,top
"R2","2.4k (242)","R_0603_1608Metric",92.862400,-71.932800,0.000000,top
"R3","9.1k (912)","R_0603_1608Metric",97.332800,-71.932800,0.000000,top
"R4","5.1k (512)","R_0603_1608Metric",92.710000,-78.028800,180.000000,top
"R5","36k (363)","R_0603_1608Metric",92.659200,-80.975200,0.000000,top
"R6","36k (363)","R_0603_1608Metric",97.332800,-81.076800,180.000000,top
"R8","5.1k (512)","R_0603_1608Metric",97.231200,-83.870800,180.000000,top
"R9","4.7k (472)","R_0603_1608Metric",102.933000,-71.932800,0.000000,top
"R10","1k (01B)","R_0603_1608Metric",133.502400,-76.708000,-90.000000,top
"R11","1k (01B)","R_0603_1608Metric",129.692400,-81.432400,0.000000,top
"R12","47 (470)","R_0603_1608Metric",108.284800,-75.781400,90.000000,top
"R13","4.7k","R_0603_1608Metric",111.506000,-75.679800,90.000000,top
"R14","10k (01C)","R_0603_1608Metric",134.264400,-87.313000,90.000000,top
"U1","LM311","SOIC-8_3.9x4.9mm_P1.27mm",122.998800,-75.500000,90.000000,top
